Candidate_Code,Course,Credit,Grade
C06,Data Communication and Computer Network System,3,1.5
C06,"Computer Science in Community, Company and Coperation",1,4.0
C06,Analysis and Design of Algorithms,3,1.0
C06,Introduction of Artificial Intelligence,3,1.0
C06,Numerical Methods,3,1.0
C06,Calculus 1,3,1.0
C06,Fundamental Computer Science,3,1.0
C06,Computer Programming,3,4.0
C06,English for Everyday Communication,3,2.0
C06,Arts of Using Thai Language,3,1.5
C06,Science for Health,3,4.0
C06,Calculus 2,3,1.0
C06,Statistics for Science,3,1.0
C06,Scientific Information for Computer Science,3,3.0
C06,Object Oriented Programming,3,1.5
C06,Web Programming,3,2.0
C06,English for Life Skills	,3,2.0
C06,Process of Thinking and Problem Solving,3,4.0
C06,Operating Systems,3,1.0
C06,Computer Organization and Architecture,3,2.5
C06,Database Systems,3,2.0
C06,Academic English,3,1.5
C06,Activities for Health,3,3.5
C06,Discrete Mathematics,3,2.5
C06,Human Relations,3,1.5
C06,Data Structures and Algorithms,3,1.0
C07,Mobile Devices Programming,3,3.5
C07,Cloud Computing,3,3.0
C07,Microcomputer System and Interfacing,3,4.0
C07,Innovation and Technology,3,4.0
C07,System Analysis and Design,3,3.5
C07,Human Computer Interaction,3,4.0
C07,Introduction of Artificial Intelligence,3,3.5
C07,Multimedia Technology,3,4.0
C07,Software Engineering,3,3.5
C07,Art of Living,3,4.0
C07,Computer Science Seminar,1,4.0
C07,"Computer Science in Community, Company and Coperation",1,4.0
C07,Electronic Commerce on Internet,3,4.0
C07,Internet of Things,3,4.0
C07,Data Communication and Computer Network System,3,4.0
C07,Computer Science Research Methodology,3,3.0
C07,Computer Science Pre-Project,3,1.0
C07,Computer System Security,3,4.0
C07,Productivity Application,3,4.0
C07,Computer Science Project,3,4.0
C07,Ethics and Computer Law,3,4.0
C07,Analysis and Design of Algorithms,3,1.5
C07,Cooperative Education in Computer Science,6,1.0
C07,Numerical Methods,3,2.5
C07,Web Programming,3,3.5
C07,Calculus 1,3,2.5
C07,Fundamental Computer Science,3,2.5
C07,Computer Programming,3,2.5
C07,English for Everyday Communication,3,3.0
C07,Arts of Using Thai Language,3,3.0
C07,Calculus 2,3,2.5
C07,Statistics for Science,3,4.0
C07,Scientific Information for Computer Science,3,4.0
C07,Object Oriented Programming,3,3.5
C07,Science for Health,3,4.0
C07,English for Life Skills	,3,4.0
C07,Activities for Health,3,4.0
C07,Process of Thinking and Problem Solving,3,4.0
C07,Operating Systems,3,4.0
C07,Computer Organization and Architecture,3,3.5
C07,Academic English,3,2.5
C07,Data Structures and Algorithms,3,2.0
C07,Discrete Mathematics,3,2.5
C07,Sufficiency Economy and Wisdom of Living,3,4.0
C07,Database Systems,3,3.0
C08,Human Relations,3,3.5
C08,Media Art 2,4,1.0
C08,Electronic Print Media,3,3.5
C08,Innovation and Technology,3,4.0
C08,Arts of Using Thai Language,3,4.0
C08,Experimental Art,2,4.0
C08,Media Art 3,4,4.0
C08,Environment and Development,3,3.5
C08,Art Analysis,2,3.5
C08,Art Thesis,12,4.0
C08,Creative Drawing,3,2.5
C08,Media Art 4,5,4.0
C08,Experimental Art for Media Art,3,3.5
C08,English for Life Skills	,3,3.0
C08,Job Internship in Art,3,1.0
C08,Seminar in Visual Art	,2,3.5
C08,Art Exhibition Design,3,4.0
C08,Art Thesis Preparation,6,4.0
C08,Writing for Art Thesis,2,4.0
C08,Watercolor Painting,3,3.0
C08,Lanna Studies,2,2.0
C08,Composition 2,2,1.5
C08,Process of Thinking and Problem Solving,3,2.5
C08,Academic English,3,1.0
C08,Drawing,2,4.0
C08,Aesthetics,2,4.0
C08,Theory of Color,2,2.5
C08,History and Style of Eastern Art,3,2.0
C08,Computer Assisted Visual Art,2,1.5
C08,Art of Living,3,3.5
C08,English for Everyday Communication,3,1.0
C08,Traditional Thai Art,2,2.5
C08,Visual Art 1,3,2.5
C08,History and Style of Western Art,3,3.5
C08,Drawing 1,2,3.5
C08,Visual Art 2,3,2.0
C08,Activities for Health,3,2.0
C08,Contemporary Art,3,1.0
C08,Anatomy,2,1.0
C08,Drawing 2,2,2.0
C08,Composition 1,2,3.0
C08,Introduction to Composition,2,3.5
C08,Media Art 1,4,1.5
C09,Object Oriented Programming,3,2.5
C09,Web Programming,3,1.0
C09,E-Marketing,3,3.5
C09,Business Law and Ethics,3,2.5
C09,Computer Security,3,2.5
C09,Social Network for Business,3,3.5
C09,Package Program 1,3,3.0
C09,Introduction to Accounting,3,1.0
C09,Pre Co-operative Education and Job Internship in Business Administration,1,1.0
C09,Sports Science for Health,3,3.5
C09,English for Life Skills	,3,3.0
C09,Management Information Technology,3,2.0
C09,Business Finance,3,3.5
C09,Visual Programming,3,2.0
C09,Systems Analysis and Design,3,3.5
C09,Web Programming,3,2.5
C09,Computer Information Systems Project,3,3.0
C09,Information System in Organization,3,3.5
C09,Information Technology Management,3,2.5
C09,Elementary Statistics,3,1.0
C09,Information for Report Writing,3,1.0
C09,Job Internship in Business Administration,3,1.0
C09,Quantitative Analysis in Business,3,1.0
C09,Thai for Communication,3,2.0
C09,Decision Support Systems,3,1.0
C09,Database Management Systems,3,2.0
C09,Business Data Communication and Network,3,2.0
C09,Implementation of Information System in Business,3,2.0
C09,Special Topics,3,2.5
C09,Physical Education,2,3.5
C09,English in Everyday Use,3,2.0
C09,Organization and Management,3,2.5
C09,Information System in Organization,3,1.5
C09,English for Communication,3,3.0
C09,Life and Social Skills,3,1.5
C09,English for Career,3,3.5
C09,Principles of Marketing,3,2.0
C09,Thinking and Making Decision Scientifically,3,3.0
C09,Microeconomics,3,1.0
C09,Production and Operations Management,3,1.0
C09,English through Media and Technology,3,3.0
C09,Macroeconomics,3,2.0
C09,Computer Programming 1,3,1.0
C09,Human Computer Interaction,3,3.5
C09,English for Business Communication,3,2.0
C09,Personality Development Techniques,3,1.5
C09,Data Structure and Algorithm,3,1.5
C09,Sufficiency Economy to Sustainable Development,3,3.0
C10,Human Relations,3,4.0
C10,Environment and Development,3,3.5
C10,Media Art 3,4,3.5
C10,Electronic Print Media,3,4.0
C10,Arts of Using Thai Language,3,1.5
C10,Innovation and Technology,3,4.0
C10,Art Analysis,2,4.0
C10,Experimental Art,2,4.0
C10,Watercolor Painting,3,3.5
C10,Art Exhibition Design,3,4.0
C10,Media Art 4,5,4.0
C10,Experimental Art for Media Art,3,4.0
C10,Job Internship in Art,3,1.0
C10,Seminar in Visual Art	,2,2.0
C10,Composition 1,2,3.5
C10,Art Thesis Preparation,6,3.5
C10,Composition 2,2,4.0
C10,Writing for Art Thesis,2,4.0
C10,Media Art 2,4,2.5
C10,Creative Drawing,3,3.0
C10,Lanna Studies,2,3.0
C10,Art Thesis,12,4.0
C10,Process of Thinking and Problem Solving,3,2.5
C10,Drawing,2,3.0
C10,Aesthetics,2,4.0
C10,Theory of Color,2,3.5
C10,History and Style of Eastern Art,3,3.5
C10,Computer Assisted Visual Art,2,4.0
C10,Visual Art 1,3,3.5
C10,Art of Living,3,3.5
C10,English for Everyday Communication,3,1.5
C10,Traditional Thai Art,2,3.0
C10,Academic English,3,1.0
C10,History and Style of Western Art,3,3.5
C10,Drawing 1,2,1.0
C10,Visual Art 2,3,3.5
C10,Activities for Health,3,3.5
C10,English for Life Skills	,3,2.5
C10,Contemporary Art,3,2.5
C10,Anatomy,2,2.5
C10,Drawing 2,2,3.5
C10,Media Art 1,4,2.5
C10,Introduction to Composition,2,3.5
C11,Electronic Commerce,3,3.5
C11,Information Management,3,2.5
C11,Fundamental Chinese,3,3.0
C11,Web Programming,3,4.0
C11,Computer Network Management,3,4.0
C11,Ethics and Information Law,3,3.0
C11,Object Oriented Analysis and Design,3,3.5
C11,System Analysis and Design for Information,3,4.0
C11,Project Management in Information Technology,3,3.0
C11,Mobile Devices Programming,3,3.5
C11,Chinese for Communication,3,3.5
C11,Information Technology Research Methodology,3,3.5
C11,Selected Programming Language,3,3.5
C11,Multimedia Technology,3,4.0
C11,Job Internship in Information Technology,6,1.0
C11,Information Technology Seminar,1,4.0
C11,Information System Security,3,2.0
C11,Information Technology Project,3,1.0
C11,Management Information System,3,3.5
C11,Human Computer Interaction,3,3.5
C11,Special Topic in Information Technology,3,3.5
C11,Thinking and Making Decision Scientifically,3,4.0
C11,Data Communication and Computer Network System,3,3.0
C11,Technical English,3,3.5
C11,English in Everyday Use,3,2.0
C11,General Psychology,3,3.5
C11,Sufficiency Economy to Sustainable Development,3,3.5
C11,Calculus 1,3,2.5
C11,Introduction to Physics,3,2.5
C11,Introduction to Computer,3,3.0
C11,English for Communication,3,3.0
C11,Thai for Communication,3,4.0
C11,Life and Social Skills,3,3.5
C11,Introduction to Physics Laboratory,1,3.5
C11,Systems Information Technology in Organization,3,3.5
C11,Technological Mathematics,3,2.5
C11,Object Oriented Programming,3,3.0
C11,Computer Platform Technology,3,2.5
C11,Statistics for Science,3,3.0
C11,Database System for Information Technology,3,2.5
C11,Physical Education,2,4.0
C11,Structure Programming,3,2.5
C11,Discrete Mathematics,3,3.0
C11,English for Career,3,3.0
C12,Object Oriented Programming,3,4.0
C12,Macroeconomics,3,3.5
C12,Database Application Software,3,1.0
C12,Business Data Communication and Network,3,3.5
C12,Computer Graphics Design,3,3.5
C12,Human Computer Interaction,3,3.5
C12,English for Business Communication,3,2.5
C12,Visual Programming,3,2.0
C12,Systems Analysis and Design,3,3.5
C12,Decision Support Systems,3,3.5
C12,English through Media and Technology,3,3.0
C12,Exercise for Health,3,4.0
C12,Man and Ethics,3,4.0
C12,Information for Report Writing,3,4.0
C12,Business Finance,3,2.5
C12,Pre Co-operative Education and Job Internship in Business Administration,1,1.0
C12,Computer Security,3,3.0
C12,Social Network for Business,3,4.0
C12,Co-operative Education in Business Administration,6,1.0
C12,Computer Information Systems Project,3,3.5
C12,Online Business Management,3,4.0
C12,Web Programming,3,3.5
C12,Microeconomics,3,3.0
C12,Quantitative Analysis in Business,3,4.0
C12,Principles of Marketing,3,3.0
C12,Implementation of Information System in Business,3,2.5
C12,Special Topics,3,2.5
C12,Physical Education,2,2.0
C12,English in Everyday Use,3,1.5
C12,Elementary Statistics,3,1.5
C12,Introduction to Accounting,3,4.0
C12,Organization and Management,3,2.5
C12,Computer Programming 1,3,2.0
C12,Thai for Communication,3,1.5
C12,English for Communication,3,1.5
C12,Information System in Organization,3,2.5
C12,Business Law and Ethics,3,2.5
C12,Thinking and Making Decision Scientifically,3,4.0
C12,Sufficiency Economy to Sustainable Development,3,4.0
C12,Database Management Systems,3,3.0
C12,Data Structure and Algorithm,3,2.5
C12,Production and Operations Management,3,3.5
C12,Life and Social Skills,3,3.5
C12,English for Career,3,2.0
C13,Signals and Systems,3,4.0
C13,Software Design and Development,3,4.0
C13,Computer Engineering Pre-Project,1,3.0
C13,Scientific Thinking and Decision Making,3,3.5
C13,Sufficiency Economy and Wisdom of Living,3,4.0
C13,Data Communication and Networks,3,2.0
C13,System Analysis and Design,3,3.0
C13,Computer Engineering Project,3,4.0
C13,Fuzzy Set Theory,3,3.0
C13,Web Programming,3,2.0
C13,Microcontroller System Design and Interface,3,2.5
C13,Computer Networks,3,1.5
C13,Artificial Intelligence and Machine Learning,3,4.0
C13,Necessary Information Technology in Daily Life,3,4.0
C13,Co-operative Education in Computer Engineering,6,1.0
C13,Engineering Mechanics,3,3.0
C13,Computer Architecture and Organization,3,2.0
C13,Electric Circuits,3,2.0
C13,Digital Circuits,3,4.0
C13,Introduction to Database and Big Data Engineering,3,2.5
C13,Operating Systems,3,1.5
C13,Computer and Data Security,3,3.5
C13,Process of Thinking and Problem Solving,3,4.0
C13,Innovation and Technology,3,4.0
C13,Art of Living,3,3.5
C13,Engineering Materials,3,2.5
C13,Fundamental of Engineering Training,1,2.5
C13,Electrical Instruments and Measurements,3,2.5
C13,English for Everyday Communication,3,3.5
C13,Basic Computer Engineering Skills,1,4.0
C13,Mathematical Foundations for Computer Engineering,3,2.5
C13,Calculus 1 for Engineers,3,3.5
C13,Physics 1 for Engineers,3,2.5
C13,Physics 1 for Engineers Laboratory,1,3.0
C13,Computer Programming,3,1.5
C13,Engineering Drawing,3,3.0
C13,Engineering Electronics,3,2.0
C13,Academic English,3,3.5
C13,Arts of Using Thai Language,3,3.5
C13,Data Structures and Algorithms,3,2.0
C13,Electrical Engineering Mathematics,3,1.5
C13,Calculus 2 for Engineers,3,4.0
C13,Activities for Health,3,3.0
C13,English for Life Skills	,3,3.5
C13,Exercise for Health,3,4.0
C14,Computer Engineering Pre-Project,1,3.5
C14,Internet Programming,3,2.0
C14,Computer Networks,3,1.0
C14,Signals and Systems,3,2.5
C14,Microprocessor and Interface,3,1.0
C14,Digital Systems Design,3,1.0
C14,Computer System Architectures and Organizations,3,1.5
C14,Thai and International Food,3,2.5
C14,Hardware Laboratory,1,3.5
C14,Database Systems,3,3.0
C14,Mathematics for Computer Engineering,3,1.0
C14,Mathematics and Statistics in Daily Life,3,2.0
C14,Electrical Circuits for Computer Engineering,3,1.0
C14,Operating Systems,3,1.0
C14,Digital Systems Design Laboratory,1,1.0
C14,Parallel and Distributed Database Systems,3,3.5
C14,Artificial Intelligence for Robots,3,3.0
C14,Web Design and Development,3,3.0
C14,Physics 2 for Engineers,3,1.5
C14,Discrete Mathematics for Engineering,3,1.0
C14,Numerical Methods for Computer Engineering,3,2.5
C14,Parallel Programming for Cluster Systems,3,3.5
C14,Computer Engineering Project,3,3.0
C14,Co-operative Education in Computer Engineering,6,1.0
C14,Network Cabling Installation and Maintenance,3,3.5
C14,Advanced Topics in Software Engineering,3,2.5
C14,Cloud Computing,3,3.0
C14,Data Structures and Algorithms,3,3.5
C14,System Analysis and Design for Engineering,3,1.0
C14,English for Life Skills	,3,3.5
C14,Physics 2 for Engineers Laboratory,1,2.5
C14,Introduction to Digital Systems,3,1.5
C14,Computer Engineering Laboratory,2,3.5
C14,English in Everyday Use,3,4.0
C14,Chemistry Laboratory for Engineers,1,2.0
C14,Physics 1 for Engineers Laboratory,1,1.0
C14,Computer Programming,3,1.5
C14,Physical Education,2,2.0
C14,Technical English,3,2.0
C14,English for Communication,3,1.5
C14,Sufficiency Economy to Sustainable Development,3,2.5
C14,Chemistry for Engineers,3,2.0
C14,Chinese for Communication,3,2.5
C14,General Psychology,3,2.5
C14,Calculus 1 for Engineers,3,1.0
C14,Physics 1 for Engineers,3,1.5
C14,Basic Computer Engineering Training,3,4.0
C14,English for Career,3,4.0
C14,Computer Programming,3,4.0
C14,Engineering Mechanics,3,1.0
C14,Engineering Drawing,3,2.0
C14,Software Engineering,3,4.0
C14,Electronic Circuits for Computer Engineering,3,1.5
C14,Introduction to Environmental Engineering,1,3.0
C14,"Ethical, Legal and Social Issues in Computer",1,2.0
C14,Calculus 2 for Engineers,3,2.0
C14,Software Laboratory,1,3.5
C14,Advanced Computer Programming,3,1.0
C14,International Relations,2,4.0
C14,Fundamental Japanese Conversation,3,4.0
C14,Thinking and Making Decision Scientifically,3,2.0
C15,Business Finance,3,1.5
C15,Web Programming,3,3.0
C15,Business Data Communication and Network,3,2.5
C15,Computer Graphics Design,3,3.5
C15,Human Computer Interaction,3,4.0
C15,English for Business Communication,3,2.0
C15,Human Relations,3,3.5
C15,Business Law and Ethics,3,3.0
C15,Visual Programming,3,1.0
C15,Online Business Management,3,4.0
C15,Decision Support Systems,3,3.0
C15,Sports for Competition,3,4.0
C15,Information for Report Writing,3,3.5
C15,Pre Co-operative Education and Job Internship in Business Administration,1,1.0
C15,Computer Security,3,2.0
C15,Social Network for Business,3,4.0
C15,Co-operative Education in Business Administration,6,1.0
C15,Computer Information Systems Project,3,3.5
C15,Sufficiency Economy to Sustainable Development,3,3.0
C15,Object Oriented Programming,3,3.5
C15,English through Media and Technology,3,2.0
C15,Database Application Software,3,2.5
C15,Quantitative Analysis in Business,3,2.5
C15,Principles of Marketing,3,2.0
C15,Implementation of Information System in Business,3,3.5
C15,Special Topics,3,4.0
C15,Physical Education,2,4.0
C15,English in Everyday Use,3,1.5
C15,Thai for Communication,3,1.5
C15,Elementary Statistics,3,2.0
C15,Introduction to Accounting,3,4.0
C15,Organization and Management,3,2.0
C15,Computer Programming 1,3,1.0
C15,Systems Analysis and Design,3,1.5
C15,English for Communication,3,1.5
C15,Life and Social Skills,3,3.5
C15,Microeconomics,3,4.0
C15,Production and Operations Management,3,3.0
C15,Data Structure and Algorithm,3,2.5
C15,Database Management Systems,3,3.0
C15,English for Career,3,1.5
C15,Thinking and Making Decision Scientifically,3,4.0
C15,Macroeconomics,3,2.5
C15,Information System in Organization,3,2.0
C16,English for Business Communication,3,2.5
C16,Human Computer Interaction,3,4.0
C16,Computer Graphics Design,3,4.0
C16,Sufficiency Economy to Sustainable Development,3,4.0
C16,Database Application Software,3,3.5
C16,Macroeconomics,3,3.0
C16,Business Law and Ethics,3,4.0
C16,Business Data Communication and Network,3,3.5
C16,Visual Programming,3,3.0
C16,Pre Co-operative Education and Job Internship in Business Administration,1,1.0
C16,Decision Support Systems,3,4.0
C16,Online Business Management,3,4.0
C16,Information for Report Writing,3,3.0
C16,Seminar in Computer Information System,3,4.0
C16,Computer Security,3,4.0
C16,Social Network for Business,3,3.0
C16,Information Retrieval,3,3.0
C16,Co-operative Education in Business Administration,6,1.0
C16,English through Media and Technology,3,3.0
C16,Object Oriented Programming,3,4.0
C16,Computer Information Systems Project,3,3.5
C16,Systems Analysis and Design,3,4.0
C16,Quantitative Analysis in Business,3,4.0
C16,Web Programming,3,4.0
C16,Introduction to Accounting,3,4.0
C16,Principles of Marketing,3,4.0
C16,Implementation of Information System in Business,3,4.0
C16,English in Everyday Use,3,3.0
C16,Elementary Statistics,3,4.0
C16,Organization and Management,3,3.5
C16,Computer Programming 1,3,2.5
C16,Information System in Organization,3,3.5
C16,Thai for Communication,3,4.0
C16,English for Communication,3,2.5
C16,Life and Social Skills,3,4.0
C16,Business Finance,3,3.5
C16,Production and Operations Management,3,4.0
C16,Data Structure and Algorithm,3,3.5
C16,Database Management Systems,3,2.5
C16,English for Career,3,2.5
C16,Thinking and Making Decision Scientifically,3,4.0
C16,Physical Education,2,4.0
C16,Microeconomics,3,3.0
C17,Management Information System,3,4.0
C17,"Computer Science in Community, Company and Coperation",1,4.0
C17,System Analysis and Design,3,3.5
C17,Internet of Things,3,3.5
C17,Innovation and Technology,3,4.0
C17,Electronic Commerce on Internet,3,3.0
C17,Arts of Using Thai Language,3,3.5
C17,Human Computer Interaction,3,4.0
C17,Computer Network Management,3,4.0
C17,Introduction of Artificial Intelligence,3,4.0
C17,Computer Science Project,3,1.0
